--- NVTX Summary ---
Generating SQLite file results/medium_ctx256_full.sqlite from results/medium_ctx256_full.nsys-rep
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -------  ----------------------------
     74.0        858400211          1  858400211.0  858400211.0  858400211  858400211          0.0  PushPop  benchmark                   
     13.2        152867542        144    1061580.2     458303.5     424199   60517410    5001540.1  PushPop  scaled dot product attention
      6.0         69048726        144     479505.0     182615.5     169832   29141119    2412322.0  PushPop  computing attention scores  
      4.6         53040911        144     368339.7     126437.0     117313   23131944    1915974.5  PushPop  computing softmax           
      2.3         26449965        144     183680.3     121498.0     109409    8148169     668784.0  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)   TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)   QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 3288  3420      0    144     144  30347848.1  32070073.5     252399   52326905    15145314.3      6471.1     5862.0       5507      57147        4339.9  30328974.7  32051211.0     183316   52308725    15146247.7    12402.4    12288.5      11456      13728         477.3  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)…
 3288  3420      0    864     864  30298996.7  31973657.5     267252   53430830    15170211.8      8734.4     4852.0       4349     201146       14919.6  30105216.9  31843361.0     140107   53265715    15166824.7   185045.4   125441.0     121025     307747       85014.3  cudaLaunchKernel  ampere_sgemm_128x64_nn                                                                              
 3288  3420      0    432     432  30247763.5  31902560.0     212553   53520068    15195813.5      7918.2     5021.0       4393      51937       10333.8  30176284.9  31833671.0     141278   53451221    15192833.6    63560.3    63536.5      62305      65120         492.2  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0    144     144  30202586.0  31823171.5     252879   53320449    15251124.6     15781.9     4858.5       4516      78500       24772.8  30123317.9  31753289.5     185443   53253299    15237794.4    63486.3    63584.5      60416      65921        1020.3  cudaLaunchKernel  ampere_sgemm_128x128_tn                                                                             
 3288  3420      0   1746    1746  30191086.5  32023478.0     262373   53386773    15271388.6      6120.7     5171.0       4333     825588       20207.9  30173772.9  32008367.0     104860   53367441    15271274.3    11192.8    10336.5       4384     143201        8542.2  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0   1890    1890  30123778.6  31966654.5      83706   53396037    15282897.9     13237.0     4603.0       4118     309404       45901.2  30084101.3  31936774.0      15894   53367780    15274794.6    26440.4    19873.0       6848     218913       27613.1  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
 3288  3420      0   1878    1878  30116974.3  31903098.0     121659   53405362    15203720.6      9276.6     5866.5       5044     813449       30766.6  30080448.0  31872442.0      98427   53346294    15200761.8    27249.7    21600.0      13216     188930       17351.2  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3420      0    312     307  30094217.5  32299736.5      80281   53257999    15949969.7     10778.9     5149.5       4529      57589       13898.1  30554715.9  32587435.0        128   53191626    15601607.9    18410.4    26128.5       1664      71904       19130.6  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
 3288  3420      0    294     294  29910697.5  31794257.5     373904   53384678    15443904.5      6272.3     5570.5       5143     154331        8714.1  29894581.5  31778668.5     358476   53369354    15444933.3     9843.8     9856.0       8832      10176         183.0  cudaLaunchKernel  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
 3288  3420      0    294     294  29877396.5  31766746.0     342471   53358576    15447732.3      5726.7     5279.5       4874      27732        2086.7  29869678.4  31759692.0     334829   53350992    15448016.5     1991.4     1984.0       1632       2368         128.9  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
